"","n","q","p_value","lambda"
"1",131.816697704736,0.997131416208113,0.127284547964543,22.5176153558782
"2",306.882366922192,0.997825935717956,0.796437009931713,50.0529297844077
"3",558.317394207937,0.998516118355978,0.209605333514745,85.722300868941
"4",362.922024718915,0.996836610799569,0.00687112326808803,63.0498623393518
"5",151.432517164848,0.988901813062247,0.0321781860495479,33.6443919060699
"6",124.390638081061,0.991399851958974,0.544729772515732,26.1545982771312
"7",9.11228997283615,0.836564917396754,0.273017319310696,5.03069159397393
"8",60.9466732164415,0.969626952451965,0.02959850838796,17.442241196252
"9",143.869270550701,0.984740006202855,0.100145628220353,34.3977429544424
"10",269.262514212438,0.990912943750169,0.0561959492437263,57.2788763296166
"11",22.5210547645811,0.982997507231135,0.652854361045448,5.52745942375174
"12",1.09612499422981,0.758145757936281,0.840340744033964,0.772234408061154
"13",7.27253021145557,0.924982374643489,0.0648896233733376,2.80789182632683
"14",1.73026904202833,0.665407154959863,0.287132355264407,1.58038403815204
"15",2.53490019734667,0.816526373908819,0.3640438410844,1.49491277611875
"16",5.7168225252057,0.837373061763752,0.280894942732973,3.14751625910568
"17",4.26588327626087,0.790525425286614,0.355789629234258,2.72902494210471
"18",6.59931346506107,0.820903867319967,0.255717082762661,3.83718369228135
"19",19.1114469604067,0.918757181023927,0.237264722311389,7.61317339781277
